implementation,p,time_s,baseline_s,overhead_s
BaggingRegressor,1,30.32145619392395,30.32145619392395,0.0
BaggingRegressor,2,22.16768503189087,30.32145619392395,14.013913869857788
BaggingRegressor,3,19.132998943328857,30.32145619392395,27.077540636062622
BaggingRegressor,4,16.897652864456177,30.32145619392395,37.26915526390076
BaggingRegressor,5,17.753759145736694,30.32145619392395,58.44733953475952
BaggingRegressor,6,16.45131015777588,30.32145619392395,68.38640475273132
BaggingRegressor,7,15.982929944992065,30.32145619392395,81.55905342102051
BaggingRegressor,8,16.082828998565674,30.32145619392395,98.34117579460144
BaggingRegressor,9,16.56519079208374,30.32145619392395,118.76526093482971
BaggingRegressor,10,16.223224878311157,30.32145619392395,131.91079258918762
sklearn + joblib,1,29.145497798919678,29.145497798919678,0.0
sklearn + joblib,2,22.876996278762817,29.145497798919678,16.608494758605957
sklearn + joblib,3,19.3995041847229,29.145497798919678,29.053014755249023
sklearn + joblib,4,16.56320810317993,29.145497798919678,37.10733461380005
sklearn + joblib,5,17.50606894493103,29.145497798919678,58.384846925735474
sklearn + joblib,6,16.56228804588318,29.145497798919678,70.2282304763794
sklearn + joblib,7,16.138179063796997,29.145497798919678,83.8217556476593
sklearn + joblib,8,16.074148178100586,29.145497798919678,99.44768762588501
sklearn + joblib,9,16.637151956558228,29.145497798919678,120.58886981010437
sklearn + joblib,10,16.43922996520996,29.145497798919678,135.24680185317993
NumPy + joblib,1,2.484196901321411,2.484196901321411,0.0
NumPy + joblib,2,1.9719538688659668,2.484196901321411,1.4597108364105225
NumPy + joblib,3,1.9322516918182373,2.484196901321411,3.312558174133301
NumPy + joblib,4,1.8611929416656494,2.484196901321411,4.9605748653411865
NumPy + joblib,5,1.6829378604888916,2.484196901321411,5.930492401123047
NumPy + joblib,6,1.613619089126587,2.484196901321411,7.19751763343811
NumPy + joblib,7,1.6656219959259033,2.484196901321411,9.175157070159912
NumPy + joblib,8,1.639275074005127,2.484196901321411,10.630003690719604
NumPy + joblib,9,1.6543910503387451,2.484196901321411,12.405322551727295
NumPy + joblib,10,1.5895929336547852,2.484196901321411,13.41173243522644
