implementation,p,time_s,speedup,efficiency,ideal_time_s,ideal_speedup,ideal_efficiency
BaggingRegressor,1,30.32145619392395,1.0,1.0,30.32145619392395,1.0,1.0
BaggingRegressor,2,22.16768503189087,1.3678224023078145,0.6839112011539072,15.160728096961975,2.0,1.0
BaggingRegressor,3,19.132998943328857,1.5847727940473333,0.5282575980157778,10.107152064641317,3.0,1.0
BaggingRegressor,4,16.897652864456177,1.7944182211071713,0.4486045552767928,7.5803640484809875,4.0,1.0
BaggingRegressor,5,17.753759145736694,1.7078893514901154,0.3415778702980231,6.06429123878479,5.0,1.0
BaggingRegressor,6,16.45131015777588,1.843102823004781,0.3071838038341302,5.053576032320659,6.0,1.0
BaggingRegressor,7,15.982929944992065,1.8971150032115718,0.27101642903022455,4.3316365991319925,7.0,1.0
BaggingRegressor,8,16.082828998565674,1.8853310071647302,0.23566637589559128,3.7901820242404938,8.0,1.0
BaggingRegressor,9,16.56519079208374,1.8304320532434872,0.20338133924927637,3.3690506882137723,9.0,1.0
BaggingRegressor,10,16.223224878311157,1.8690153419780755,0.18690153419780756,3.032145619392395,10.0,1.0
sklearn + joblib,1,29.145497798919678,1.0,1.0,29.145497798919678,1.0,1.0
sklearn + joblib,2,22.876996278762817,1.274008940849286,0.637004470424643,14.572748899459839,2.0,1.0
sklearn + joblib,3,19.3995041847229,1.5023836445197265,0.5007945481732422,9.715165932973227,3.0,1.0
sklearn + joblib,4,16.56320810317993,1.759652937846268,0.439913234461567,7.286374449729919,4.0,1.0
sklearn + joblib,5,17.50606894493103,1.6648796420602983,0.33297592841205964,5.829099559783936,5.0,1.0
sklearn + joblib,6,16.56228804588318,1.7597506889251486,0.29329178148752477,4.857582966486613,6.0,1.0
sklearn + joblib,7,16.138179063796997,1.8059966792847268,0.2579995256121038,4.163642542702811,7.0,1.0
sklearn + joblib,8,16.074148178100586,1.8131908127254603,0.22664885159068254,3.6431872248649597,8.0,1.0
sklearn + joblib,9,16.637151956558228,1.7518321570315865,0.19464801744795404,3.2383886443244085,9.0,1.0
sklearn + joblib,10,16.43922996520996,1.772923540859259,0.1772923540859259,2.914549779891968,10.0,1.0
NumPy + joblib,1,2.484196901321411,1.0,1.0,2.484196901321411,1.0,1.0
NumPy + joblib,2,1.9719538688659668,1.2597642067306705,0.6298821033653352,1.2420984506607056,2.0,1.0
NumPy + joblib,3,1.9322516918182373,1.285648713281134,0.42854957109371133,0.8280656337738037,3.0,1.0
NumPy + joblib,4,1.8611929416656494,1.3347336784429307,0.33368341961073267,0.6210492253303528,4.0,1.0
NumPy + joblib,5,1.6829378604888916,1.4761073237723434,0.2952214647544687,0.4968393802642822,5.0,1.0
NumPy + joblib,6,1.613619089126587,1.539518786100905,0.2565864643501508,0.41403281688690186,6.0,1.0
NumPy + joblib,7,1.6656219959259033,1.4914529871709996,0.21306471245299993,0.35488527161734446,7.0,1.0
NumPy + joblib,8,1.639275074005127,1.5154240680619546,0.18942800850774433,0.3105246126651764,8.0,1.0
NumPy + joblib,9,1.6543910503387451,1.5015778166913796,0.16684197963237551,0.27602187792460126,9.0,1.0
NumPy + joblib,10,1.5895929336547852,1.5627880878972935,0.15627880878972936,0.2484196901321411,10.0,1.0
