implementation,p,repetition,time_s
NumPy + joblib,10,1,1.5822241306304932
NumPy + joblib,10,2,1.5084092617034912
NumPy + joblib,10,3,1.5895929336547852
NumPy + joblib,10,4,1.6495561599731445
NumPy + joblib,10,5,1.6188547611236572
sklearn + joblib,1,1,29.04155969619751
sklearn + joblib,1,2,29.166625022888184
sklearn + joblib,1,3,27.925931215286255
sklearn + joblib,1,4,29.145497798919678
sklearn + joblib,1,5,35.39192605018616
sklearn + joblib,2,1,26.40112829208374
sklearn + joblib,2,2,22.030606031417847
sklearn + joblib,2,3,22.876996278762817
sklearn + joblib,2,4,23.056234121322632
sklearn + joblib,2,5,22.185866117477417
sklearn + joblib,3,1,20.39905571937561
sklearn + joblib,3,2,18.79191017150879
sklearn + joblib,3,3,20.304325103759766
sklearn + joblib,3,4,19.3995041847229
sklearn + joblib,3,5,19.363157987594604
sklearn + joblib,4,1,16.56320810317993
sklearn + joblib,4,2,16.520808219909668
sklearn + joblib,4,3,17.364611864089966
sklearn + joblib,4,4,16.76437997817993
sklearn + joblib,4,5,16.515055894851685
sklearn + joblib,5,1,17.548344612121582
sklearn + joblib,5,2,17.475829124450684
sklearn + joblib,5,3,17.50606894493103
sklearn + joblib,5,4,18.366003036499023
sklearn + joblib,5,5,17.21586799621582
sklearn + joblib,6,1,16.56228804588318
sklearn + joblib,6,2,16.560776948928833
sklearn + joblib,6,3,17.35586714744568
sklearn + joblib,6,4,16.40089702606201
sklearn + joblib,6,5,16.730543851852417
sklearn + joblib,7,1,16.214767932891846
sklearn + joblib,7,2,16.138179063796997
sklearn + joblib,7,3,16.08222985267639
sklearn + joblib,7,4,16.189292907714844
sklearn + joblib,7,5,15.945234060287476
sklearn + joblib,8,1,16.053004026412964
sklearn + joblib,8,2,16.14350700378418
sklearn + joblib,8,3,16.000235080718994
sklearn + joblib,8,4,16.276616096496582
sklearn + joblib,8,5,16.074148178100586
sklearn + joblib,9,1,16.557428121566772
sklearn + joblib,9,2,16.79253911972046
sklearn + joblib,9,3,16.650482177734375
sklearn + joblib,9,4,16.637151956558228
sklearn + joblib,9,5,16.324254035949707
sklearn + joblib,10,1,16.50817108154297
sklearn + joblib,10,2,16.43922996520996
sklearn + joblib,10,3,16.576954126358032
sklearn + joblib,10,4,16.41899013519287
sklearn + joblib,10,5,16.356873989105225
