implementation,p,repetition,time_s
BaggingRegressor,1,1,32.59491801261902
BaggingRegressor,1,2,29.92137122154236
BaggingRegressor,1,3,31.672662019729614
BaggingRegressor,1,4,30.32145619392395
BaggingRegressor,1,5,30.044739961624146
BaggingRegressor,2,1,21.780206203460693
BaggingRegressor,2,2,21.87435793876648
BaggingRegressor,2,3,22.575906991958618
BaggingRegressor,2,4,24.481323957443237
BaggingRegressor,2,5,22.16768503189087
BaggingRegressor,3,1,18.802340030670166
BaggingRegressor,3,2,19.422287702560425
BaggingRegressor,3,3,19.14050579071045
BaggingRegressor,3,4,18.732342004776
BaggingRegressor,3,5,19.132998943328857
BaggingRegressor,4,1,16.897652864456177
BaggingRegressor,4,2,16.631911993026733
BaggingRegressor,4,3,16.294825792312622
BaggingRegressor,4,4,17.20636224746704
BaggingRegressor,4,5,16.944530963897705
BaggingRegressor,5,1,17.907745122909546
BaggingRegressor,5,2,17.147918939590454
BaggingRegressor,5,3,17.445594310760498
BaggingRegressor,5,4,17.753759145736694
BaggingRegressor,5,5,18.341038942337036
BaggingRegressor,6,1,16.600877046585083
BaggingRegressor,6,2,16.322391033172607
BaggingRegressor,6,3,16.48086380958557
BaggingRegressor,6,4,16.45131015777588
BaggingRegressor,6,5,16.39077401161194
BaggingRegressor,7,1,15.922644853591919
BaggingRegressor,7,2,15.923964977264404
BaggingRegressor,7,3,16.12258791923523
BaggingRegressor,7,4,16.040810108184814
BaggingRegressor,7,5,15.982929944992065
BaggingRegressor,8,1,16.799023151397705
BaggingRegressor,8,2,16.210212230682373
BaggingRegressor,8,3,15.999881982803345
BaggingRegressor,8,4,16.082828998565674
BaggingRegressor,8,5,16.063249111175537
BaggingRegressor,9,1,16.44438600540161
BaggingRegressor,9,2,16.450424909591675
BaggingRegressor,9,3,16.637330055236816
BaggingRegressor,9,4,17.127789974212646
BaggingRegressor,9,5,16.56519079208374
BaggingRegressor,10,1,16.219134092330933
BaggingRegressor,10,2,16.537528038024902
BaggingRegressor,10,3,16.222790002822876
BaggingRegressor,10,4,16.469806671142578
BaggingRegressor,10,5,16.223224878311157
NumPy + joblib,1,1,2.484196901321411
NumPy + joblib,1,2,2.496342897415161
NumPy + joblib,1,3,2.481956958770752
NumPy + joblib,1,4,2.47892689704895
NumPy + joblib,1,5,2.4881479740142822
NumPy + joblib,2,1,1.983271837234497
NumPy + joblib,2,2,1.9675438404083252
NumPy + joblib,2,3,1.9640848636627197
NumPy + joblib,2,4,1.9934520721435547
NumPy + joblib,2,5,1.9719538688659668
NumPy + joblib,3,1,1.9322516918182373
NumPy + joblib,3,2,1.991152048110962
NumPy + joblib,3,3,1.81402587890625
NumPy + joblib,3,4,2.002401113510132
NumPy + joblib,3,5,1.7781572341918945
NumPy + joblib,4,1,1.8418140411376953
NumPy + joblib,4,2,1.7892510890960693
NumPy + joblib,4,3,1.8688640594482422
NumPy + joblib,4,4,1.903353214263916
NumPy + joblib,4,5,1.8611929416656494
NumPy + joblib,5,1,1.795271873474121
NumPy + joblib,5,2,1.7263097763061523
NumPy + joblib,5,3,1.6829378604888916
NumPy + joblib,5,4,1.6279611587524414
NumPy + joblib,5,5,1.6759278774261475
NumPy + joblib,6,1,1.6258151531219482
NumPy + joblib,6,2,1.570570945739746
NumPy + joblib,6,3,1.605238914489746
NumPy + joblib,6,4,1.6850650310516357
NumPy + joblib,6,5,1.613619089126587
NumPy + joblib,7,1,1.6656219959259033
NumPy + joblib,7,2,1.6076161861419678
NumPy + joblib,7,3,1.67826509475708
NumPy + joblib,7,4,1.6341092586517334
NumPy + joblib,7,5,1.6943249702453613
NumPy + joblib,8,1,1.6602849960327148
NumPy + joblib,8,2,1.4713053703308105
NumPy + joblib,8,3,1.5867688655853271
NumPy + joblib,8,4,1.639275074005127
NumPy + joblib,8,5,1.64371919631958
NumPy + joblib,9,1,1.5073468685150146
NumPy + joblib,9,2,1.6543910503387451
NumPy + joblib,9,3,1.6913628578186035
NumPy + joblib,9,4,1.7327849864959717
NumPy + joblib,9,5,1.6345839500427246
