p,t,time_s
1,1,1.4796814918518066
1,2,1.0524301528930664
1,3,0.9728565216064453
1,4,0.8813037872314453
1,5,0.8132758140563965
1,6,0.8432192802429199
1,7,0.8314554691314697
1,8,1.0368421077728271
2,1,1.2709851264953613
2,2,0.824143648147583
2,3,1.0651664733886719
2,4,0.9380409717559814
3,1,0.9596700668334961
3,2,0.8756194114685059
4,1,0.95308518409729
4,2,0.9390709400177002
5,1,0.729802131652832
6,1,0.7896320819854736
7,1,0.7641022205352783
8,1,1.0153141021728516
