family,version,p,time_s
auto,v1,1,66.03951406478882
auto,v2,1,84.48287630081177
auto,v3,1,118.93852400779724
auto,v4,1,105.07213687896729
auto,v5,1,93.1324679851532
sklearn,v1,1,87.87723231315613
sklearn,v2,1,87.00462484359741
sklearn,v3,1,71.94768166542053
numpy,v1,1,5.480058908462524
numpy,v2,1,5.565980911254883
