implementation,p,time_s,t1_s,overhead_s
BaggingRegressor,1,8.74083924293518,8.74083924293518,0.0
BaggingRegressor,2,5.7111358642578125,8.74083924293518,2.6814324855804443
BaggingRegressor,3,3.8378148078918457,8.74083924293518,2.7726051807403564
BaggingRegressor,4,3.6728477478027344,8.74083924293518,5.950551748275757
BaggingRegressor,5,2.825438976287842,8.74083924293518,5.386355638504028
BaggingRegressor,6,3.001939058303833,8.74083924293518,9.270795106887817
BaggingRegressor,7,2.4220049381256104,8.74083924293518,8.213195323944092
BaggingRegressor,8,2.937053918838501,8.74083924293518,14.755592107772827
NumPy + joblib,1,0.5204610824584961,0.5204610824584961,0.0
NumPy + joblib,2,0.7135319709777832,0.5204610824584961,0.9066028594970703
NumPy + joblib,3,0.7000010013580322,0.5204610824584961,1.5795419216156006
NumPy + joblib,4,0.7319927215576172,0.5204610824584961,2.4075098037719727
NumPy + joblib,5,0.6240429878234863,0.5204610824584961,2.5997538566589355
NumPy + joblib,6,0.5108969211578369,0.5204610824584961,2.5449204444885254
NumPy + joblib,7,0.5229318141937256,0.5204610824584961,3.140061616897583
NumPy + joblib,8,0.6655120849609375,0.5204610824584961,4.803635597229004
sklearn + joblib,1,9.119077920913696,9.119077920913696,0.0
sklearn + joblib,2,5.4310078620910645,9.119077920913696,1.7429378032684326
sklearn + joblib,3,3.5839040279388428,9.119077920913696,1.632634162902832
sklearn + joblib,4,3.926791191101074,9.119077920913696,6.588086843490601
sklearn + joblib,5,2.977576971054077,9.119077920913696,5.7688069343566895
sklearn + joblib,6,2.7571370601654053,9.119077920913696,7.423744440078735
sklearn + joblib,7,2.8801212310791016,9.119077920913696,11.041770696640015
sklearn + joblib,8,3.4434077739715576,9.119077920913696,18.428184270858765
