p,t,p_times_t,repetition,time_s,visible_threadpools
1,1,1,1,5.848494875,[]
1,1,1,2,5.580271541,[]
1,1,1,3,5.302560583,[]
1,2,2,1,5.102445334,[]
1,2,2,2,5.203839917000001,[]
1,2,2,3,5.8904250419999995,[]
1,3,3,1,5.367896958,[]
1,3,3,2,5.541295540999999,[]
1,3,3,3,5.460750334,[]
1,4,4,1,5.670943791000001,[]
1,4,4,2,5.5661935840000005,[]
1,4,4,3,5.631666459000001,[]
1,5,5,1,5.602011416,[]
1,5,5,2,5.308208041,[]
1,5,5,3,5.149401875,[]
1,6,6,1,5.181337209,[]
1,6,6,2,5.3945025,[]
1,6,6,3,5.150208708999999,[]
1,7,7,1,6.555709542,[]
1,7,7,2,6.013262417,[]
1,7,7,3,5.810678458,[]
1,8,8,1,6.01919125,[]
1,8,8,2,5.273097833,[]
1,8,8,3,5.09006925,[]
2,1,2,1,4.464080292,[]
2,1,2,2,9.686150041,[]
2,1,2,3,4.6943220000000005,[]
2,2,4,1,5.679530166999999,[]
2,2,4,2,4.478411791999999,[]
2,2,4,3,4.7370234170000005,[]
2,3,6,1,4.858506166,[]
2,3,6,2,5.488187875,[]
2,3,6,3,6.070472667,[]
2,4,8,1,5.391087959,[]
2,4,8,2,4.578687958,[]
2,4,8,3,4.684615292,[]
3,1,3,1,3.9254380829999995,[]
3,1,3,2,8.010470708,[]
3,1,3,3,4.435831292,[]
3,2,6,1,4.068397,[]
3,2,6,2,3.9146240000000003,[]
3,2,6,3,5.255740833,[]
4,1,4,1,3.8206100000000003,[]
4,1,4,2,4.347012333,[]
4,1,4,3,4.2338249580000005,[]
4,2,8,1,5.076217959,[]
4,2,8,2,5.589084291,[]
4,2,8,3,4.2455497090000005,[]
5,1,5,1,5.394064916,[]
5,1,5,2,6.1046045410000005,[]
5,1,5,3,4.431999875,[]
6,1,6,1,4.322763166,[]
6,1,6,2,4.887375250000001,[]
6,1,6,3,5.660345541,[]
7,1,7,1,5.210136208000001,[]
7,1,7,2,4.513370875000001,[]
7,1,7,3,4.984363833,[]
8,1,8,1,4.562990916,[]
8,1,8,2,6.573225292,[]
8,1,8,3,5.877757792000001,[]
